,Номер реестровой записи контракта,Заказчик: ИНН,Предмет контракта,Цена контракта,"Информация о поставщиках (исполнителях, подрядчиках) по контракту: ИНН",Заказчик: широта,Заказчик: долгота,Заказчик: населенный пункт,Заказчик: деятельность,Исполнитель: широта,Исполнитель: долгота,Исполнитель: населенный пункт,Исполнитель: деятельность
0,2550302559324000245,5503025593,Поставка яиц куриных в скорлупе свежих,"11 340,00",550504994420,55.040379,73.4442,Омск,Деятельность больничных организаций,54.9848566,73.3674517,Омск,Торговля оптовая яйцами
1,2683202476623000412,6832024766,  поставка элементов питания к индивидуальному беспроводному оборудованию для пациентов с кохлеарной имплантацией ,"223 299,83",7721129652,52.761967,41.42183,Тамбов,Деятельность больничных организаций,55.7314136,37.7655951,Москва,Торговля оптовая электрической бытовой техникой
2,2263300261924000083,2633002619,Поставка лекарственного препарата для медицинского применения (Вориконазол),"126 893,25",4003032047,45.0394235,41.9375288,Ставрополь,Деятельность больничных организаций,55.7332827,37.6971641,Москва,Торговля оптовая фармацевтической продукцией
3,3352527917124000008,3525279171,оказание услуг по организации и проведению весенних Чистых игр в рамках Евразийского Кубка Чистоты,"626 850,00",3528274037,59.2184255,39.8880335,Вологда,Регулирование и содействие эффективному ведению экономической деятельности предприятий,59.122514,37.9193895,Череповец,Деятельность по организации отдыха и развлечений прочая
4,2745313582724000699,7453135827,"поставка лекарственного препарата для медицинского применения – ТРИМЕБУТИН для обеспечения вне федеральных перечней льготных категорий граждан дорогостоящими лекарственными препаратами, в том числе предназначенными для лечения больных гемофилией, муковисцидозом, гипофизарным нанизмом, болезнью Гоше, злокачественными новообразованиями лимфоидной, кроветворной и родственных им тканей, рассеянным склерозом, гемолитико-уремическим синдромом, юношеским артритом с системным началом, мукополисахаридозом I, II и VI типов, апластической анемией неуточненной, наследственным дефицитом факторов II (фибриногена), VII (лабильного), X (Стюарта-Прауэра), а также после трансплантации органов и (или) тканей, включая обеспечение по решениям суда","3 582,00",7724053916,55.1622347,61.4010919,Челябинск,"Деятельность органов государственной власти субъектов Российской Федерации (республик, краев, областей), кроме судебной власти, представительств исполнительных органов государственной власти субъектов Российской Федерации при Президенте Российской Федерации",55.659216,37.636617,Москва,Торговля оптовая фармацевтической продукцией
5,3540713471224000023,5407134712,Поставка ткани,"35 960,00",540539654281,55.0267319,82.9186371,Новосибирск,Деятельность в области исполнительских искусств,55.028191,82.9211489,Новосибирск,Торговля розничная текстильными изделиями в специализированных магазинах
6,2860200160924000067,8602001609,Поставка медицинского оборудования (аппарат для измерения артериального давления),"7 400,00",601400200203,61.2571223,73.3732146,Сургут,Стоматологическая практика,59.983711,30.245009,Санкт-Петербург,Торговля розничная по почте или по информационно-коммуникационной сети Интернет
7,2060806015524000015,608060155,Поставка хозяйственных товаров для нужд ГБУ «РЦМК и СМП»,"222 740,70",060800035988,43.2257841,44.7645779,Назрань,"Деятельность в области медицины прочая, не включенная в другие группировки",43.2257841,44.7645779,Назрань,Торговля розничная прочая в неспециализированных магазинах
8,3591800779220000010,5918007792,Снабжение тепловой энергией и теплоносителем на нужды ГВС и отопления,"1 381 156,18",5918011573,58.088271,57.817423,Лысьва,Образование среднее общее,58.1011775,57.7986866,Лысьва,"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха"
9,1027609042824000022,276090428,Поставка облучателя ультрафиолетового бактерицидного (оснащение СКП),"41 445,64",0268098448,54.7647334,56.0079454,Уфа,"Деятельность полномочных представителей Президента Российской Федерации в регионах Российской Федерации и территориальных органов федеральных органов исполнительной власти в субъектах Российской Федерации (республиках, краях, областях)",53.6308158,55.9584541,Стерлитамак,"Торговля оптовая изделиями, применяемыми в медицинских целях"
