,ИНН,legal
0,103008080,ЮЛ
1,104000904,ЮЛ
2,105017386,ЮЛ
3,105022178,ЮЛ
4,105025965,ЮЛ
5,105043770,ЮЛ
6,105049067,ЮЛ
7,105062815,ЮЛ
8,105066496,ЮЛ
9,202000613,ЮЛ
10,203000817,ЮЛ
11,207000991,ЮЛ
12,211001814,ЮЛ
13,212004600,ЮЛ
14,216001688,ЮЛ
15,216007320,ЮЛ
16,220003920,ЮЛ
17,222002369,ЮЛ
18,222011638,ЮЛ
19,224013045,ЮЛ
20,228001690,ЮЛ
21,228006828,ЮЛ
22,236000756,ЮЛ
23,240002604,ЮЛ
24,242011964,ЮЛ
25,250004368,ЮЛ
26,253003637,ЮЛ
27,255002773,ЮЛ
28,256024233,ЮЛ
29,257002433,ЮЛ
30,257008121,ЮЛ
31,258002080,ЮЛ
32,259016079,ЮЛ
33,260003765,ЮЛ
34,261003775,ЮЛ
35,261004521,ЮЛ
36,263033126,ЮЛ
37,264054778,ЮЛ
38,265007932,ЮЛ
39,265039067,ЮЛ
40,268098448,ЮЛ
41,269998410,ЮЛ
42,270001580,ЮЛ
43,270007751,ЮЛ
44,270016040,ЮЛ
45,272911810,ЮЛ
46,272923439,ЮЛ
47,273019949,ЮЛ
48,273913578,ЮЛ
49,273921829,ЮЛ
50,273935941,ЮЛ
51,274001119,ЮЛ
52,274008516,ЮЛ
53,274026307,ЮЛ
54,274033103,ЮЛ
55,274036104,ЮЛ
56,274036320,ЮЛ
57,274110679,ЮЛ
58,274139607,ЮЛ
59,274142800,ЮЛ
60,274150791,ЮЛ
61,274159995,ЮЛ
62,274166390,ЮЛ
63,274189693,ЮЛ
64,274191928,ЮЛ
65,274193516,ЮЛ
66,275006462,ЮЛ
67,275022785,ЮЛ
68,275034029,ЮЛ
69,275038496,ЮЛ
70,275066373,ЮЛ
71,275914231,ЮЛ
72,275914560,ЮЛ
73,276008208,ЮЛ
74,276015727,ЮЛ
75,276061836,ЮЛ
76,276065541,ЮЛ
77,276090428,ЮЛ
78,276105642,ЮЛ
79,276927152,ЮЛ
80,276928420,ЮЛ
81,276929512,ЮЛ
82,276937432,ЮЛ
83,276952751,ЮЛ
84,276967243,ЮЛ
85,276967282,ЮЛ
86,277023336,ЮЛ
87,277072661,ЮЛ
88,277112089,ЮЛ
89,277957424,ЮЛ
90,277958435,ЮЛ
91,278044875,ЮЛ
92,278067833,ЮЛ
93,278071759,ЮЛ
94,278083634,ЮЛ
95,278116505,ЮЛ
96,278142632,ЮЛ
97,278175123,ЮЛ
98,278180959,ЮЛ
99,300010874,ЮЛ
100,306011497,ЮЛ
101,306014258,ЮЛ
102,312004480,ЮЛ
103,314000499,ЮЛ
104,316002558,ЮЛ
105,317006058,ЮЛ
106,317316814,ЮЛ
107,318009968,ЮЛ
108,321003067,ЮЛ
109,321004014,ЮЛ
110,321004046,ЮЛ
111,321009823,ЮЛ
112,323050376,ЮЛ
113,323053514,ЮЛ
114,323053994,ЮЛ
115,323071048,ЮЛ
116,323078879,ЮЛ
117,323079720,ЮЛ
118,323085940,ЮЛ
119,323089013,ЮЛ
120,323108080,ЮЛ
121,323339440,ЮЛ
122,323370471,ЮЛ
123,326024141,ЮЛ
124,326040626,ЮЛ
125,326483106,ЮЛ
126,326526617,ЮЛ
127,326558665,ЮЛ
128,326572050,ЮЛ
129,411008373,ЮЛ
130,411020300,ЮЛ
131,411104849,ЮЛ
132,505010628,ЮЛ
133,507017241,ЮЛ
134,517011640,ЮЛ
135,521006650,ЮЛ
136,529007462,ЮЛ
137,533018001,ЮЛ
138,536008403,ЮЛ
139,536015182,ЮЛ
140,542018512,ЮЛ
141,542018520,ЮЛ
142,543001649,ЮЛ
143,545019049,ЮЛ
144,546011275,ЮЛ
145,547009952,ЮЛ
146,554001513,ЮЛ
147,561014070,ЮЛ
148,562050754,ЮЛ
149,562053748,ЮЛ
150,562064034,ЮЛ
151,562077393,ЮЛ
152,570005579,ЮЛ
153,570006131,ЮЛ
154,571000559,ЮЛ
155,571008854,ЮЛ
156,571009294,ЮЛ
157,571010910,ЮЛ
158,572000590,ЮЛ
159,572019376,ЮЛ
160,601700007,ЮЛ
161,602000079,ЮЛ
162,602025161,ЮЛ
163,608044770,ЮЛ
164,608060155,ЮЛ
165,700011015,ЮЛ
166,703002682,ЮЛ
